0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:36 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:37 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:37 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:37 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:38 -0700] "PUT /MVCProject/rest/user/1/todos/19 HTTP/1.1" 201 171
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:38 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:18 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:18 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:18 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:18 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:20 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 160
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:20 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:22 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 161
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:22 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:22 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 160
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:22 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:30 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 160
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:18:30 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:03 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:03 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:05 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 161
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:05 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:06 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 160
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:06 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:06 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 161
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:06 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:07 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 160
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:07 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:19:07 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 161
